Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG835;LUG835_2;155;38,645441667E;48,635636111N
LUG835;LUG835_3;290;38,645441667E;48,635636111N
LUG836;LUG836_1;30;38,9725E;48,7N
LUG836;LUG836_2;150;38,9725E;48,7N
LUG851;LUG851_1;0;39,261669444E;48,536727778N
LUG851;LUG851_2;100;39,261669444E;48,536727778N
LUG851;LUG851_3;220;39,261669444E;48,536727778N
LUG852;LUG852_2;220;39,349444444E;48,5825N
LUG852;LUG852_3;330;39,349444444E;48,5825N
LUG852;LUG852_1;100;39,349444444E;48,5825N
LUG853;LUG853_1;11,5;39,365555556E;48,598055556N
LUG853;LUG853_2;114,7;39,365555556E;48,598055556N
LUG853;LUG853_3;222;39,365555556E;48,598055556N
LUG857;LUG857_1;0;39,314694444E;48,565858333N
LUG857;LUG857_2;120;39,314694444E;48,565858333N
LUG857;LUG857_3;250;39,314694444E;48,565858333N
LUG858;LUG858_1;0;39,805738889E;48,074277778N
LUG858;LUG858_2;120;39,805738889E;48,074277778N
LUG858;LUG858_3;240;39,805738889E;48,074277778N
LUG863;LUG863_1;25;39,657894444E;48,342527778N
LUG863;LUG863_2;120;39,657894444E;48,342527778N
LUG863;LUG863_3;250;39,657894444E;48,342527778N
LUG864;LUG864_1;100;39,305280556E;48,535225N
LUG864;LUG864_2;240;39,305280556E;48,535225N
LUG864;LUG864_3;340;39,305280556E;48,535225N
LUG865;LUG865_1;30;39,655833333E;48,345555556N
LUG865;LUG865_2;150;39,655833333E;48,345555556N
LUG865;LUG865_3;270;39,655833333E;48,345555556N
LUG866;LUG866_1;20;39,294166667E;48,498055556N
LUG866;LUG866_2;130;39,294166667E;48,498055556N
LUG866;LUG866_3;235;39,294166667E;48,498055556N
LUG868;LUG868_1;100;39,271933333E;48,594216667N
LUG868;LUG868_2;210;39,271933333E;48,594216667N
LUG868;LUG868_3;330;39,271933333E;48,594216667N
LUG869;LUG869_1;15;39,308277778E;48,591408333N
LUG869;LUG869_2;160;39,308277778E;48,591408333N
LUG869;LUG869_3;290;39,308277778E;48,591408333N
